0.00.018.917 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.019.099 I srv          init: The UI is disabled
0.00.019.103 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.032.195 I srv    load_model: loading model './models/qwen2.5-1.5b-instruct-q4_k_m.gguf'
0.00.429.013 W load: control-looking token: 128247 '</s>' was not control-type; this is probably a bug in the model. its type will be overridden
0.01.201.173 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 4096, kv_unified = 'true'
0.01.207.069 I srv  llama_server: model loaded
0.01.207.092 I srv  llama_server: listening on http://127.0.0.1:8081
2.17.571.887 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
4.49.436.513 I slot      release: id  2 | task 17 | stop processing: n_tokens = 405, truncated = 0
6.05.462.783 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 0.896
6.05.462.961 I slot launch_slot_: id  2 | task 62 | processing task, is_child = 0
6.08.034.903 I slot print_timing: id  2 | task 62 | prompt eval time =    1105.68 ms /   363 tokens (    3.05 ms per token,   328.30 tokens per second)
6.08.034.911 I slot print_timing: id  2 | task 62 |        eval time =    1466.23 ms /    43 tokens (   34.10 ms per token,    29.33 tokens per second)
6.08.034.913 I slot print_timing: id  2 | task 62 |       total time =    2571.91 ms /   406 tokens
6.08.034.913 I slot print_timing: id  2 | task 62 |    graphs reused =         96
6.08.034.976 I slot      release: id  2 | task 62 | stop processing: n_tokens = 405, truncated = 0
24.08.468.688 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = -1
24.08.468.728 I slot launch_slot_: id  1 | task 107 | processing task, is_child = 0
24.09.903.434 I slot print_timing: id  1 | task 107 | prompt eval time =     505.89 ms /   160 tokens (    3.16 ms per token,   316.27 tokens per second)
24.09.903.445 I slot print_timing: id  1 | task 107 |        eval time =     925.81 ms /    29 tokens (   31.92 ms per token,    31.32 tokens per second)
24.09.903.446 I slot print_timing: id  1 | task 107 |       total time =    1431.70 ms /   189 tokens
24.09.903.447 I slot print_timing: id  1 | task 107 |    graphs reused =        123
24.09.903.492 I slot      release: id  1 | task 107 | stop processing: n_tokens = 188, truncated = 0
30.04.075.853 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
30.04.075.891 I slot launch_slot_: id  0 | task 138 | processing task, is_child = 0
30.06.138.728 I slot print_timing: id  0 | task 138 | prompt eval time =     886.93 ms /   293 tokens (    3.03 ms per token,   330.35 tokens per second)
30.06.138.738 I slot print_timing: id  0 | task 138 |        eval time =    1174.62 ms /    36 tokens (   32.63 ms per token,    30.65 tokens per second)
30.06.138.739 I slot print_timing: id  0 | task 138 |       total time =    2061.55 ms /   329 tokens
30.06.138.739 I slot print_timing: id  0 | task 138 |    graphs reused =        157
30.06.138.801 I slot      release: id  0 | task 138 | stop processing: n_tokens = 328, truncated = 0
30.26.182.533 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 138053759
30.26.182.650 I slot launch_slot_: id  3 | task 176 | processing task, is_child = 0
30.29.407.857 I slot print_timing: id  3 | task 176 | prompt eval time =     786.48 ms /   268 tokens (    2.93 ms per token,   340.76 tokens per second)
30.29.407.872 I slot print_timing: id  3 | task 176 |        eval time =    2436.41 ms /    74 tokens (   32.92 ms per token,    30.37 tokens per second)
30.29.407.873 I slot print_timing: id  3 | task 176 |       total time =    3222.89 ms /   342 tokens
30.29.407.874 I slot print_timing: id  3 | task 176 |    graphs reused =        229
30.29.407.918 I slot      release: id  3 | task 176 | stop processing: n_tokens = 341, truncated = 0
30.48.134.091 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 367763571
30.48.134.289 I slot launch_slot_: id  2 | task 252 | processing task, is_child = 0
30.49.142.607 I slot print_timing: id  2 | task 252 | prompt eval time =     472.11 ms /   158 tokens (    2.99 ms per token,   334.67 tokens per second)
30.49.142.618 I slot print_timing: id  2 | task 252 |        eval time =     533.94 ms /    17 tokens (   31.41 ms per token,    31.84 tokens per second)
30.49.142.619 I slot print_timing: id  2 | task 252 |       total time =    1006.06 ms /   175 tokens
30.49.142.620 I slot print_timing: id  2 | task 252 |    graphs reused =        244
30.49.142.657 I slot      release: id  2 | task 252 | stop processing: n_tokens = 174, truncated = 0
31.02.324.166 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, sim_best = 0.897 (> 0.100 thold), f_keep = 0.851
31.02.324.268 I slot launch_slot_: id  2 | task 271 | processing task, is_child = 0
31.03.349.656 I slot print_timing: id  2 | task 271 | prompt eval time =     520.13 ms /   165 tokens (    3.15 ms per token,   317.23 tokens per second)
31.03.349.664 I slot print_timing: id  2 | task 271 |        eval time =     505.22 ms /    16 tokens (   31.58 ms per token,    31.67 tokens per second)
31.03.349.665 I slot print_timing: id  2 | task 271 |       total time =    1025.36 ms /   181 tokens
31.03.349.666 I slot print_timing: id  2 | task 271 |    graphs reused =        258
31.03.349.706 I slot      release: id  2 | task 271 | stop processing: n_tokens = 180, truncated = 0
405.33.681.327 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 1449632087
405.33.681.581 I slot launch_slot_: id  1 | task 289 | processing task, is_child = 0
405.35.543.140 I slot print_timing: id  1 | task 289 | prompt eval time =     234.26 ms /    52 tokens (    4.50 ms per token,   221.98 tokens per second)
405.35.543.152 I slot print_timing: id  1 | task 289 |        eval time =    1625.91 ms /    49 tokens (   33.18 ms per token,    30.14 tokens per second)
405.35.543.153 I slot print_timing: id  1 | task 289 |       total time =    1860.17 ms /   101 tokens
405.35.543.154 I slot print_timing: id  1 | task 289 |    graphs reused =        305
405.35.543.202 I slot      release: id  1 | task 289 | stop processing: n_tokens = 100, truncated = 0
410.23.351.605 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 1805867396
410.23.351.773 I slot launch_slot_: id  0 | task 340 | processing task, is_child = 0
410.24.105.278 I slot print_timing: id  0 | task 340 | prompt eval time =     171.14 ms /    38 tokens (    4.50 ms per token,   222.04 tokens per second)
410.24.105.287 I slot print_timing: id  0 | task 340 |        eval time =     581.30 ms /    17 tokens (   34.19 ms per token,    29.24 tokens per second)
410.24.105.288 I slot print_timing: id  0 | task 340 |       total time =     752.44 ms /    55 tokens
410.24.105.289 I slot print_timing: id  0 | task 340 |    graphs reused =        320
410.24.105.330 I slot      release: id  0 | task 340 | stop processing: n_tokens = 54, truncated = 0
416.09.032.391 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 1829136513
416.09.032.495 I slot launch_slot_: id  3 | task 359 | processing task, is_child = 0
416.10.905.752 I slot print_timing: id  3 | task 359 | prompt eval time =     989.13 ms /   323 tokens (    3.06 ms per token,   326.55 tokens per second)
416.10.905.760 I slot print_timing: id  3 | task 359 |        eval time =     883.50 ms /    28 tokens (   31.55 ms per token,    31.69 tokens per second)
416.10.905.762 I slot print_timing: id  3 | task 359 |       total time =    1872.63 ms /   351 tokens
416.10.905.763 I slot print_timing: id  3 | task 359 |    graphs reused =        346
416.10.905.809 I slot      release: id  3 | task 359 | stop processing: n_tokens = 350, truncated = 0
416.10.912.097 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.680 (> 0.100 thold), f_keep = 0.626
416.10.912.300 I slot launch_slot_: id  3 | task 389 | processing task, is_child = 0
416.13.009.609 I slot print_timing: id  3 | task 389 | prompt eval time =     980.30 ms /   322 tokens (    3.04 ms per token,   328.47 tokens per second)
416.13.009.619 I slot print_timing: id  3 | task 389 |        eval time =    1116.95 ms /    35 tokens (   31.91 ms per token,    31.34 tokens per second)
416.13.009.620 I slot print_timing: id  3 | task 389 |       total time =    2097.26 ms /   357 tokens
416.13.009.621 I slot print_timing: id  3 | task 389 |    graphs reused =        379
416.13.009.659 I slot      release: id  3 | task 389 | stop processing: n_tokens = 356, truncated = 0
416.13.029.093 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.678 (> 0.100 thold), f_keep = 0.615
416.13.029.326 I slot launch_slot_: id  3 | task 426 | processing task, is_child = 0
416.14.937.513 I slot print_timing: id  3 | task 426 | prompt eval time =     957.43 ms /   323 tokens (    2.96 ms per token,   337.36 tokens per second)
416.14.937.519 I slot print_timing: id  3 | task 426 |        eval time =     950.71 ms /    30 tokens (   31.69 ms per token,    31.56 tokens per second)
416.14.937.520 I slot print_timing: id  3 | task 426 |       total time =    1908.13 ms /   353 tokens
416.14.937.521 I slot print_timing: id  3 | task 426 |    graphs reused =        407
416.14.937.561 I slot      release: id  3 | task 426 | stop processing: n_tokens = 352, truncated = 0
416.14.966.600 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.678 (> 0.100 thold), f_keep = 0.622
416.14.967.015 I slot launch_slot_: id  3 | task 458 | processing task, is_child = 0
416.16.803.254 I slot print_timing: id  3 | task 458 | prompt eval time =     951.63 ms /   323 tokens (    2.95 ms per token,   339.42 tokens per second)
416.16.803.263 I slot print_timing: id  3 | task 458 |        eval time =     884.55 ms /    28 tokens (   31.59 ms per token,    31.65 tokens per second)
416.16.803.264 I slot print_timing: id  3 | task 458 |       total time =    1836.18 ms /   351 tokens
416.16.803.265 I slot print_timing: id  3 | task 458 |    graphs reused =        433
416.16.803.317 I slot      release: id  3 | task 458 | stop processing: n_tokens = 350, truncated = 0
416.16.830.532 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.680 (> 0.100 thold), f_keep = 0.626
416.16.830.850 I slot launch_slot_: id  3 | task 488 | processing task, is_child = 0
416.18.937.091 I slot print_timing: id  3 | task 488 | prompt eval time =     988.84 ms /   322 tokens (    3.07 ms per token,   325.63 tokens per second)
416.18.937.101 I slot print_timing: id  3 | task 488 |        eval time =    1117.35 ms /    35 tokens (   31.92 ms per token,    31.32 tokens per second)
416.18.937.102 I slot print_timing: id  3 | task 488 |       total time =    2106.19 ms /   357 tokens
416.18.937.103 I slot print_timing: id  3 | task 488 |    graphs reused =        466
416.18.937.150 I slot      release: id  3 | task 488 | stop processing: n_tokens = 356, truncated = 0
416.18.943.656 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.678 (> 0.100 thold), f_keep = 0.615
416.18.944.024 I slot launch_slot_: id  3 | task 525 | processing task, is_child = 0
416.20.860.910 I slot print_timing: id  3 | task 525 | prompt eval time =     965.06 ms /   323 tokens (    2.99 ms per token,   334.69 tokens per second)
416.20.860.920 I slot print_timing: id  3 | task 525 |        eval time =     951.77 ms /    30 tokens (   31.73 ms per token,    31.52 tokens per second)
416.20.860.921 I slot print_timing: id  3 | task 525 |       total time =    1916.83 ms /   353 tokens
416.20.860.922 I slot print_timing: id  3 | task 525 |    graphs reused =        494
416.20.860.969 I slot      release: id  3 | task 525 | stop processing: n_tokens = 352, truncated = 0
417.01.129.777 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.678 (> 0.100 thold), f_keep = 0.622
417.01.129.956 I slot launch_slot_: id  3 | task 557 | processing task, is_child = 0
417.02.964.155 I slot print_timing: id  3 | task 557 | prompt eval time =     947.43 ms /   323 tokens (    2.93 ms per token,   340.92 tokens per second)
417.02.964.164 I slot print_timing: id  3 | task 557 |        eval time =     886.73 ms /    28 tokens (   31.67 ms per token,    31.58 tokens per second)
417.02.964.165 I slot print_timing: id  3 | task 557 |       total time =    1834.15 ms /   351 tokens
417.02.964.166 I slot print_timing: id  3 | task 557 |    graphs reused =        520
417.02.964.207 I slot      release: id  3 | task 557 | stop processing: n_tokens = 350, truncated = 0
417.02.970.426 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.680 (> 0.100 thold), f_keep = 0.626
417.02.970.641 I slot launch_slot_: id  3 | task 587 | processing task, is_child = 0
417.05.049.267 I slot print_timing: id  3 | task 587 | prompt eval time =     960.65 ms /   322 tokens (    2.98 ms per token,   335.19 tokens per second)
417.05.049.277 I slot print_timing: id  3 | task 587 |        eval time =    1117.92 ms /    35 tokens (   31.94 ms per token,    31.31 tokens per second)
417.05.049.278 I slot print_timing: id  3 | task 587 |       total time =    2078.57 ms /   357 tokens
417.05.049.279 I slot print_timing: id  3 | task 587 |    graphs reused =        553
417.05.049.319 I slot      release: id  3 | task 587 | stop processing: n_tokens = 356, truncated = 0
417.05.069.516 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.678 (> 0.100 thold), f_keep = 0.615
417.05.069.738 I slot launch_slot_: id  3 | task 624 | processing task, is_child = 0
417.06.980.526 I slot print_timing: id  3 | task 624 | prompt eval time =     950.65 ms /   323 tokens (    2.94 ms per token,   339.77 tokens per second)
417.06.980.536 I slot print_timing: id  3 | task 624 |        eval time =     960.09 ms /    30 tokens (   32.00 ms per token,    31.25 tokens per second)
417.06.980.537 I slot print_timing: id  3 | task 624 |       total time =    1910.74 ms /   353 tokens
417.06.980.538 I slot print_timing: id  3 | task 624 |    graphs reused =        581
417.06.980.578 I slot      release: id  3 | task 624 | stop processing: n_tokens = 352, truncated = 0
417.06.986.172 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.680 (> 0.100 thold), f_keep = 0.622
417.06.986.412 I slot launch_slot_: id  3 | task 656 | processing task, is_child = 0
417.09.099.164 I slot print_timing: id  3 | task 656 | prompt eval time =     963.02 ms /   322 tokens (    2.99 ms per token,   334.37 tokens per second)
417.09.099.174 I slot print_timing: id  3 | task 656 |        eval time =    1149.68 ms /    36 tokens (   31.94 ms per token,    31.31 tokens per second)
417.09.099.176 I slot print_timing: id  3 | task 656 |       total time =    2112.70 ms /   358 tokens
417.09.099.176 I slot print_timing: id  3 | task 656 |    graphs reused =        615
417.09.099.217 I slot      release: id  3 | task 656 | stop processing: n_tokens = 357, truncated = 0
417.09.105.282 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.648 (> 0.100 thold), f_keep = 0.613
417.09.105.485 I slot launch_slot_: id  3 | task 694 | processing task, is_child = 0
417.11.351.057 I slot print_timing: id  3 | task 694 | prompt eval time =     994.93 ms /   338 tokens (    2.94 ms per token,   339.72 tokens per second)
417.11.351.066 I slot print_timing: id  3 | task 694 |        eval time =    1250.59 ms /    39 tokens (   32.07 ms per token,    31.19 tokens per second)
417.11.351.067 I slot print_timing: id  3 | task 694 |       total time =    2245.52 ms /   377 tokens
417.11.351.068 I slot print_timing: id  3 | task 694 |    graphs reused =        652
417.11.351.111 I slot      release: id  3 | task 694 | stop processing: n_tokens = 376, truncated = 0
417.11.356.836 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.644 (> 0.100 thold), f_keep = 0.582
417.11.357.020 I slot launch_slot_: id  3 | task 735 | processing task, is_child = 0
417.13.539.979 I slot print_timing: id  3 | task 735 | prompt eval time =    1004.38 ms /   340 tokens (    2.95 ms per token,   338.52 tokens per second)
417.13.539.990 I slot print_timing: id  3 | task 735 |        eval time =    1178.52 ms /    37 tokens (   31.85 ms per token,    31.40 tokens per second)
417.13.539.991 I slot print_timing: id  3 | task 735 |       total time =    2182.91 ms /   377 tokens
417.13.539.992 I slot print_timing: id  3 | task 735 |    graphs reused =        687
417.13.540.031 I slot      release: id  3 | task 735 | stop processing: n_tokens = 376, truncated = 0
417.13.545.795 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.644 (> 0.100 thold), f_keep = 0.582
417.13.545.983 I slot launch_slot_: id  3 | task 774 | processing task, is_child = 0
417.16.058.373 I slot print_timing: id  3 | task 774 | prompt eval time =    1005.59 ms /   340 tokens (    2.96 ms per token,   338.11 tokens per second)
417.16.058.381 I slot print_timing: id  3 | task 774 |        eval time =    1506.75 ms /    47 tokens (   32.06 ms per token,    31.19 tokens per second)
417.16.058.382 I slot print_timing: id  3 | task 774 |       total time =    2512.34 ms /   387 tokens
417.16.058.383 I slot print_timing: id  3 | task 774 |    graphs reused =        732
417.16.058.421 I slot      release: id  3 | task 774 | stop processing: n_tokens = 386, truncated = 0
417.16.077.287 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.691 (> 0.100 thold), f_keep = 0.567
417.16.077.515 I slot launch_slot_: id  3 | task 823 | processing task, is_child = 0
417.18.122.227 I slot print_timing: id  3 | task 823 | prompt eval time =     941.75 ms /   317 tokens (    2.97 ms per token,   336.61 tokens per second)
417.18.122.239 I slot print_timing: id  3 | task 823 |        eval time =    1102.91 ms /    35 tokens (   31.51 ms per token,    31.73 tokens per second)
417.18.122.240 I slot print_timing: id  3 | task 823 |       total time =    2044.66 ms /   352 tokens
417.18.122.241 I slot print_timing: id  3 | task 823 |    graphs reused =        765
417.18.122.284 I slot      release: id  3 | task 823 | stop processing: n_tokens = 351, truncated = 0
417.18.154.087 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.691 (> 0.100 thold), f_keep = 0.624
417.18.154.293 I slot launch_slot_: id  3 | task 860 | processing task, is_child = 0
417.19.991.302 I slot print_timing: id  3 | task 860 | prompt eval time =     930.59 ms /   317 tokens (    2.94 ms per token,   340.64 tokens per second)
417.19.991.312 I slot print_timing: id  3 | task 860 |        eval time =     906.37 ms /    29 tokens (   31.25 ms per token,    32.00 tokens per second)
417.19.991.313 I slot print_timing: id  3 | task 860 |       total time =    1836.96 ms /   346 tokens
417.19.991.314 I slot print_timing: id  3 | task 860 |    graphs reused =        792
417.19.991.356 I slot      release: id  3 | task 860 | stop processing: n_tokens = 345, truncated = 0
417.20.020.974 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.735 (> 0.100 thold), f_keep = 0.635
417.20.021.199 I slot launch_slot_: id  3 | task 891 | processing task, is_child = 0
417.22.042.461 I slot print_timing: id  3 | task 891 | prompt eval time =     879.31 ms /   298 tokens (    2.95 ms per token,   338.90 tokens per second)
417.22.042.470 I slot print_timing: id  3 | task 891 |        eval time =    1141.90 ms /    35 tokens (   32.63 ms per token,    30.65 tokens per second)
417.22.042.472 I slot print_timing: id  3 | task 891 |       total time =    2021.21 ms /   333 tokens
417.22.042.473 I slot print_timing: id  3 | task 891 |    graphs reused =        825
417.22.042.513 I slot      release: id  3 | task 891 | stop processing: n_tokens = 332, truncated = 0
417.22.067.905 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.676 (> 0.100 thold), f_keep = 0.660
417.22.068.141 I slot launch_slot_: id  3 | task 928 | processing task, is_child = 0
417.24.846.535 I slot print_timing: id  3 | task 928 | prompt eval time =     951.19 ms /   324 tokens (    2.94 ms per token,   340.63 tokens per second)
417.24.846.544 I slot print_timing: id  3 | task 928 |        eval time =    1827.15 ms /    57 tokens (   32.06 ms per token,    31.20 tokens per second)
417.24.846.545 I slot print_timing: id  3 | task 928 |       total time =    2778.34 ms /   381 tokens
417.24.846.545 I slot print_timing: id  3 | task 928 |    graphs reused =        880
417.24.846.588 I slot      release: id  3 | task 928 | stop processing: n_tokens = 380, truncated = 0
417.24.852.736 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.672 (> 0.100 thold), f_keep = 0.576
417.24.852.984 I slot launch_slot_: id  3 | task 987 | processing task, is_child = 0
417.26.990.193 I slot print_timing: id  3 | task 987 | prompt eval time =     957.43 ms /   326 tokens (    2.94 ms per token,   340.50 tokens per second)
417.26.990.201 I slot print_timing: id  3 | task 987 |        eval time =    1179.73 ms /    37 tokens (   31.88 ms per token,    31.36 tokens per second)
417.26.990.202 I slot print_timing: id  3 | task 987 |       total time =    2137.16 ms /   363 tokens
417.26.990.202 I slot print_timing: id  3 | task 987 |    graphs reused =        915
417.26.990.241 I slot      release: id  3 | task 987 | stop processing: n_tokens = 362, truncated = 0
417.26.996.135 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.689 (> 0.100 thold), f_keep = 0.605
417.26.996.356 I slot launch_slot_: id  3 | task 1026 | processing task, is_child = 0
417.28.785.022 I slot print_timing: id  3 | task 1026 | prompt eval time =     940.53 ms /   318 tokens (    2.96 ms per token,   338.11 tokens per second)
417.28.785.032 I slot print_timing: id  3 | task 1026 |        eval time =     848.08 ms /    27 tokens (   31.41 ms per token,    31.84 tokens per second)
417.28.785.034 I slot print_timing: id  3 | task 1026 |       total time =    1788.62 ms /   345 tokens
417.28.785.034 I slot print_timing: id  3 | task 1026 |    graphs reused =        940
417.28.785.075 I slot      release: id  3 | task 1026 | stop processing: n_tokens = 344, truncated = 0
417.28.790.778 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.662 (> 0.100 thold), f_keep = 0.637
417.28.791.017 I slot launch_slot_: id  3 | task 1055 | processing task, is_child = 0
417.30.661.759 I slot print_timing: id  3 | task 1055 | prompt eval time =     979.46 ms /   331 tokens (    2.96 ms per token,   337.94 tokens per second)
417.30.661.768 I slot print_timing: id  3 | task 1055 |        eval time =     891.23 ms /    28 tokens (   31.83 ms per token,    31.42 tokens per second)
417.30.661.769 I slot print_timing: id  3 | task 1055 |       total time =    1870.69 ms /   359 tokens
417.30.661.770 I slot print_timing: id  3 | task 1055 |    graphs reused =        966
417.30.661.811 I slot      release: id  3 | task 1055 | stop processing: n_tokens = 358, truncated = 0
417.30.667.621 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.650 (> 0.100 thold), f_keep = 0.612
417.30.667.833 I slot launch_slot_: id  3 | task 1085 | processing task, is_child = 0
417.32.604.461 I slot print_timing: id  3 | task 1085 | prompt eval time =    1004.70 ms /   337 tokens (    2.98 ms per token,   335.42 tokens per second)
417.32.604.470 I slot print_timing: id  3 | task 1085 |        eval time =     931.87 ms /    29 tokens (   32.13 ms per token,    31.12 tokens per second)
417.32.604.471 I slot print_timing: id  3 | task 1085 |       total time =    1936.58 ms /   366 tokens
417.32.604.472 I slot print_timing: id  3 | task 1085 |    graphs reused =        993
417.32.604.527 I slot      release: id  3 | task 1085 | stop processing: n_tokens = 365, truncated = 0
417.32.622.731 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.658 (> 0.100 thold), f_keep = 0.600
417.32.622.960 I slot launch_slot_: id  3 | task 1116 | processing task, is_child = 0
417.34.529.347 I slot print_timing: id  3 | task 1116 | prompt eval time =     993.22 ms /   333 tokens (    2.98 ms per token,   335.27 tokens per second)
417.34.529.357 I slot print_timing: id  3 | task 1116 |        eval time =     913.11 ms /    29 tokens (   31.49 ms per token,    31.76 tokens per second)
417.34.529.359 I slot print_timing: id  3 | task 1116 |       total time =    1906.34 ms /   362 tokens
417.34.529.359 I slot print_timing: id  3 | task 1116 |    graphs reused =       1020
417.34.529.407 I slot      release: id  3 | task 1116 | stop processing: n_tokens = 361, truncated = 0
417.34.535.061 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.638 (> 0.100 thold), f_keep = 0.607
417.34.535.287 I slot launch_slot_: id  3 | task 1147 | processing task, is_child = 0
417.36.927.425 I slot print_timing: id  3 | task 1147 | prompt eval time =    1007.74 ms /   343 tokens (    2.94 ms per token,   340.37 tokens per second)
417.36.927.437 I slot print_timing: id  3 | task 1147 |        eval time =    1384.35 ms /    43 tokens (   32.19 ms per token,    31.06 tokens per second)
417.36.927.438 I slot print_timing: id  3 | task 1147 |       total time =    2392.09 ms /   386 tokens
417.36.927.439 I slot print_timing: id  3 | task 1147 |    graphs reused =       1061
417.36.927.482 I slot      release: id  3 | task 1147 | stop processing: n_tokens = 385, truncated = 0
417.36.957.059 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.637 (> 0.100 thold), f_keep = 0.569
417.36.957.271 I slot launch_slot_: id  3 | task 1192 | processing task, is_child = 0
417.39.348.554 I slot print_timing: id  3 | task 1192 | prompt eval time =    1028.61 ms /   344 tokens (    2.99 ms per token,   334.43 tokens per second)
417.39.348.562 I slot print_timing: id  3 | task 1192 |        eval time =    1362.62 ms /    42 tokens (   32.44 ms per token,    30.82 tokens per second)
417.39.348.563 I slot print_timing: id  3 | task 1192 |       total time =    2391.23 ms /   386 tokens
417.39.348.564 I slot print_timing: id  3 | task 1192 |    graphs reused =       1101
417.39.348.604 I slot      release: id  3 | task 1192 | stop processing: n_tokens = 385, truncated = 0
417.39.354.597 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.640 (> 0.100 thold), f_keep = 0.569
417.39.354.823 I slot launch_slot_: id  3 | task 1236 | processing task, is_child = 0
417.41.668.100 I slot print_timing: id  3 | task 1236 | prompt eval time =    1040.66 ms /   342 tokens (    3.04 ms per token,   328.64 tokens per second)
417.41.668.108 I slot print_timing: id  3 | task 1236 |        eval time =    1272.57 ms /    40 tokens (   31.81 ms per token,    31.43 tokens per second)
417.41.668.110 I slot print_timing: id  3 | task 1236 |       total time =    2313.23 ms /   382 tokens
417.41.668.111 I slot print_timing: id  3 | task 1236 |    graphs reused =       1139
417.41.668.155 I slot      release: id  3 | task 1236 | stop processing: n_tokens = 381, truncated = 0
417.41.674.308 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.640 (> 0.100 thold), f_keep = 0.575
417.41.674.531 I slot launch_slot_: id  3 | task 1278 | processing task, is_child = 0
417.43.974.205 I slot print_timing: id  3 | task 1278 | prompt eval time =    1027.44 ms /   342 tokens (    3.00 ms per token,   332.87 tokens per second)
417.43.974.213 I slot print_timing: id  3 | task 1278 |        eval time =    1272.18 ms /    40 tokens (   31.80 ms per token,    31.44 tokens per second)
417.43.974.214 I slot print_timing: id  3 | task 1278 |       total time =    2299.62 ms /   382 tokens
417.43.974.215 I slot print_timing: id  3 | task 1278 |    graphs reused =       1177
417.43.974.255 I slot      release: id  3 | task 1278 | stop processing: n_tokens = 381, truncated = 0
