0.00.262.046 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.262.061 W srv  llama_server: embeddings enabled with n_batch (2048) > n_ubatch (512)
0.00.262.064 W srv  llama_server: setting n_batch = n_ubatch = 512 to avoid assertion failure
0.00.262.166 I srv          init: The UI is disabled
0.00.262.167 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.268.956 I srv    load_model: loading model './models/all-minilm-l6-v2-q5.gguf'
0.00.328.845 W load: special_eos_id is not in special_eog_ids - the tokenizer config may be incorrect
0.00.342.588 W srv    load_model: speculative decoding not supported by this context
0.00.342.596 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 512, kv_unified = 'true'
0.00.347.558 I srv  llama_server: model loaded
0.00.347.566 I srv  llama_server: listening on http://127.0.0.1:8090
0.06.003.991 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
1.13.862.652 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 73520244
1.13.862.661 I slot launch_slot_: id  0 | task 32 | processing task, is_child = 0
1.13.865.052 I slot      release: id  0 | task 32 | stop processing: n_tokens = 18, truncated = 0
1.13.866.321 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.111 (> 0.100 thold), f_keep = 0.056
1.13.866.329 I slot launch_slot_: id  0 | task 34 | processing task, is_child = 0
1.13.867.784 I slot      release: id  0 | task 34 | stop processing: n_tokens = 9, truncated = 0
1.13.890.432 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 73523007
1.13.890.440 I slot launch_slot_: id  3 | task 36 | processing task, is_child = 0
1.13.892.248 I slot      release: id  3 | task 36 | stop processing: n_tokens = 14, truncated = 0
1.13.906.479 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 73542654
1.13.906.491 I slot launch_slot_: id  2 | task 38 | processing task, is_child = 0
1.13.908.102 I slot      release: id  2 | task 38 | stop processing: n_tokens = 12, truncated = 0
1.13.910.193 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 73558961
1.13.910.200 I slot launch_slot_: id  1 | task 40 | processing task, is_child = 0
1.13.911.808 I slot      release: id  1 | task 40 | stop processing: n_tokens = 12, truncated = 0
1.13.938.394 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 73565761
1.13.938.402 I slot launch_slot_: id  0 | task 42 | processing task, is_child = 0
1.13.939.848 I slot      release: id  0 | task 42 | stop processing: n_tokens = 10, truncated = 0
1.13.953.860 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 73590224
1.13.953.870 I slot launch_slot_: id  3 | task 44 | processing task, is_child = 0
1.13.955.338 I slot      release: id  3 | task 44 | stop processing: n_tokens = 12, truncated = 0
1.13.969.859 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 73606077
1.13.969.867 I slot launch_slot_: id  2 | task 46 | processing task, is_child = 0
1.13.971.307 I slot      release: id  2 | task 46 | stop processing: n_tokens = 12, truncated = 0
1.13.973.782 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 73609784
1.13.973.793 I slot launch_slot_: id  1 | task 48 | processing task, is_child = 0
1.13.975.359 I slot      release: id  1 | task 48 | stop processing: n_tokens = 13, truncated = 0
1.14.001.923 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.143 (> 0.100 thold), f_keep = 0.077
1.14.001.933 I slot launch_slot_: id  1 | task 50 | processing task, is_child = 0
1.14.003.205 I slot      release: id  1 | task 50 | stop processing: n_tokens = 7, truncated = 0
1.14.005.743 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 73637825
1.14.005.750 I slot launch_slot_: id  0 | task 52 | processing task, is_child = 0
1.14.007.048 I slot      release: id  0 | task 52 | stop processing: n_tokens = 10, truncated = 0
1.14.032.959 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.143 (> 0.100 thold), f_keep = 0.100
1.14.032.968 I slot launch_slot_: id  0 | task 54 | processing task, is_child = 0
1.14.034.226 I slot      release: id  0 | task 54 | stop processing: n_tokens = 7, truncated = 0
1.14.036.539 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 73653314
1.14.036.547 I slot launch_slot_: id  3 | task 56 | processing task, is_child = 0
1.14.038.173 I slot      release: id  3 | task 56 | stop processing: n_tokens = 13, truncated = 0
1.14.039.927 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 73669282
1.14.039.932 I slot launch_slot_: id  2 | task 58 | processing task, is_child = 0
1.14.041.826 I slot      release: id  2 | task 58 | stop processing: n_tokens = 14, truncated = 0
1.14.064.393 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 73701180
1.14.064.404 I slot launch_slot_: id  1 | task 60 | processing task, is_child = 0
1.14.065.879 I slot      release: id  1 | task 60 | stop processing: n_tokens = 10, truncated = 0
1.14.068.097 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.111 (> 0.100 thold), f_keep = 0.100
1.14.068.105 I slot launch_slot_: id  1 | task 62 | processing task, is_child = 0
1.14.069.344 I slot      release: id  1 | task 62 | stop processing: n_tokens = 9, truncated = 0
1.14.080.363 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 73732201
1.14.080.372 I slot launch_slot_: id  0 | task 64 | processing task, is_child = 0
1.14.082.251 I slot      release: id  0 | task 64 | stop processing: n_tokens = 15, truncated = 0
1.14.084.426 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 73736148
1.14.084.439 I slot launch_slot_: id  3 | task 66 | processing task, is_child = 0
1.14.085.913 I slot      release: id  3 | task 66 | stop processing: n_tokens = 11, truncated = 0
1.14.110.438 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 73739802
1.14.110.451 I slot launch_slot_: id  2 | task 68 | processing task, is_child = 0
1.14.112.215 I slot      release: id  2 | task 68 | stop processing: n_tokens = 11, truncated = 0
1.14.114.449 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 73767319
1.14.114.458 I slot launch_slot_: id  1 | task 70 | processing task, is_child = 0
1.14.116.059 I slot      release: id  1 | task 70 | stop processing: n_tokens = 12, truncated = 0
1.14.117.911 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 73780226
1.14.117.916 I slot launch_slot_: id  0 | task 72 | processing task, is_child = 0
1.14.119.320 I slot      release: id  0 | task 72 | stop processing: n_tokens = 11, truncated = 0
1.14.121.897 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 73783888
1.14.121.906 I slot launch_slot_: id  3 | task 74 | processing task, is_child = 0
1.14.123.371 I slot      release: id  3 | task 74 | stop processing: n_tokens = 12, truncated = 0
1.14.141.701 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.500 (> 0.100 thold), f_keep = 0.417
1.14.141.712 I slot launch_slot_: id  3 | task 76 | processing task, is_child = 0
1.14.143.276 I slot      release: id  3 | task 76 | stop processing: n_tokens = 10, truncated = 0
1.14.157.233 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 73810189
1.14.157.239 I slot launch_slot_: id  2 | task 78 | processing task, is_child = 0
1.14.158.800 I slot      release: id  2 | task 78 | stop processing: n_tokens = 13, truncated = 0
1.14.172.215 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 73814033
1.14.172.222 I slot launch_slot_: id  1 | task 80 | processing task, is_child = 0
1.14.174.165 I slot      release: id  1 | task 80 | stop processing: n_tokens = 15, truncated = 0
1.14.188.240 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.364 (> 0.100 thold), f_keep = 0.267
1.14.188.247 I slot launch_slot_: id  1 | task 82 | processing task, is_child = 0
1.14.189.757 I slot      release: id  1 | task 82 | stop processing: n_tokens = 11, truncated = 0
1.14.203.271 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 73817295
1.14.203.279 I slot launch_slot_: id  0 | task 84 | processing task, is_child = 0
1.14.205.106 I slot      release: id  0 | task 84 | stop processing: n_tokens = 10, truncated = 0
1.14.207.637 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 73841252
1.14.207.647 I slot launch_slot_: id  3 | task 86 | processing task, is_child = 0
1.14.209.237 I slot      release: id  3 | task 86 | stop processing: n_tokens = 12, truncated = 0
1.14.211.591 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 73856774
1.14.211.599 I slot launch_slot_: id  2 | task 88 | processing task, is_child = 0
1.14.213.134 I slot      release: id  2 | task 88 | stop processing: n_tokens = 12, truncated = 0
1.14.234.916 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 73887731
1.14.234.925 I slot launch_slot_: id  1 | task 90 | processing task, is_child = 0
1.14.236.463 I slot      release: id  1 | task 90 | stop processing: n_tokens = 12, truncated = 0
1.14.250.408 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.111 (> 0.100 thold), f_keep = 0.083
1.14.250.415 I slot launch_slot_: id  1 | task 92 | processing task, is_child = 0
1.14.251.689 I slot      release: id  1 | task 92 | stop processing: n_tokens = 9, truncated = 0
1.14.253.853 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 73903083
1.14.253.863 I slot launch_slot_: id  0 | task 94 | processing task, is_child = 0
1.14.255.547 I slot      release: id  0 | task 94 | stop processing: n_tokens = 13, truncated = 0
1.14.281.415 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.111 (> 0.100 thold), f_keep = 0.077
1.14.281.426 I slot launch_slot_: id  0 | task 96 | processing task, is_child = 0
1.14.282.865 I slot      release: id  0 | task 96 | stop processing: n_tokens = 9, truncated = 0
1.14.297.373 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.222 (> 0.100 thold), f_keep = 0.222
1.14.297.381 I slot launch_slot_: id  0 | task 98 | processing task, is_child = 0
1.14.298.666 I slot      release: id  0 | task 98 | stop processing: n_tokens = 9, truncated = 0
1.14.313.578 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.111 (> 0.100 thold), f_keep = 0.111
1.14.313.589 I slot launch_slot_: id  0 | task 100 | processing task, is_child = 0
1.14.315.050 I slot      release: id  0 | task 100 | stop processing: n_tokens = 9, truncated = 0
1.14.329.482 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 73907213
1.14.329.488 I slot launch_slot_: id  3 | task 102 | processing task, is_child = 0
1.14.331.839 I slot      release: id  3 | task 102 | stop processing: n_tokens = 20, truncated = 0
1.14.333.853 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 73911110
1.14.333.858 I slot launch_slot_: id  2 | task 104 | processing task, is_child = 0
1.14.335.151 I slot      release: id  2 | task 104 | stop processing: n_tokens = 10, truncated = 0
1.14.337.104 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 73949664
1.14.337.111 I slot launch_slot_: id  1 | task 106 | processing task, is_child = 0
1.14.339.120 I slot      release: id  1 | task 106 | stop processing: n_tokens = 19, truncated = 0
1.14.340.919 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 74013025
1.14.340.925 I slot launch_slot_: id  0 | task 108 | processing task, is_child = 0
1.14.342.568 I slot      release: id  0 | task 108 | stop processing: n_tokens = 14, truncated = 0
1.14.344.605 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.111 (> 0.100 thold), f_keep = 0.071
1.14.344.618 I slot launch_slot_: id  0 | task 110 | processing task, is_child = 0
1.14.346.114 I slot      release: id  0 | task 110 | stop processing: n_tokens = 9, truncated = 0
1.14.360.788 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 74029814
1.14.360.797 I slot launch_slot_: id  3 | task 112 | processing task, is_child = 0
1.14.362.117 I slot      release: id  3 | task 112 | stop processing: n_tokens = 10, truncated = 0
1.14.376.280 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.111 (> 0.100 thold), f_keep = 0.100
1.14.376.287 I slot launch_slot_: id  3 | task 114 | processing task, is_child = 0
1.14.377.936 I slot      release: id  3 | task 114 | stop processing: n_tokens = 9, truncated = 0
1.14.380.744 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.111 (> 0.100 thold), f_keep = 0.111
1.14.380.751 I slot launch_slot_: id  3 | task 116 | processing task, is_child = 0
1.14.382.157 I slot      release: id  3 | task 116 | stop processing: n_tokens = 9, truncated = 0
1.14.406.944 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 74033126
1.14.406.953 I slot launch_slot_: id  2 | task 118 | processing task, is_child = 0
1.14.408.719 I slot      release: id  2 | task 118 | stop processing: n_tokens = 10, truncated = 0
1.14.422.859 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 74037095
1.14.422.867 I slot launch_slot_: id  1 | task 120 | processing task, is_child = 0
1.14.424.291 I slot      release: id  1 | task 120 | stop processing: n_tokens = 11, truncated = 0
1.14.426.414 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 74044090
1.14.426.424 I slot launch_slot_: id  0 | task 122 | processing task, is_child = 0
1.14.428.141 I slot      release: id  0 | task 122 | stop processing: n_tokens = 14, truncated = 0
1.14.429.974 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.286 (> 0.100 thold), f_keep = 0.286
1.14.429.981 I slot launch_slot_: id  0 | task 124 | processing task, is_child = 0
1.14.431.649 I slot      release: id  0 | task 124 | stop processing: n_tokens = 14, truncated = 0
1.14.454.400 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.333 (> 0.100 thold), f_keep = 0.286
1.14.454.408 I slot launch_slot_: id  0 | task 126 | processing task, is_child = 0
1.14.455.956 I slot      release: id  0 | task 126 | stop processing: n_tokens = 12, truncated = 0
1.14.470.396 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 74080133
1.14.470.404 I slot launch_slot_: id  3 | task 128 | processing task, is_child = 0
1.14.472.785 I slot      release: id  3 | task 128 | stop processing: n_tokens = 18, truncated = 0
1.14.475.539 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.167 (> 0.100 thold), f_keep = 0.056
1.14.475.548 I slot launch_slot_: id  3 | task 130 | processing task, is_child = 0
1.14.476.627 I slot      release: id  3 | task 130 | stop processing: n_tokens = 6, truncated = 0
1.14.479.083 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.250 (> 0.100 thold), f_keep = 0.333
1.14.479.091 I slot launch_slot_: id  3 | task 132 | processing task, is_child = 0
1.14.480.327 I slot      release: id  3 | task 132 | stop processing: n_tokens = 8, truncated = 0
1.14.482.557 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 74106696
1.14.482.563 I slot launch_slot_: id  2 | task 134 | processing task, is_child = 0
1.14.484.027 I slot      release: id  2 | task 134 | stop processing: n_tokens = 11, truncated = 0
1.14.501.453 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 74122265
1.14.501.461 I slot launch_slot_: id  1 | task 136 | processing task, is_child = 0
1.14.502.885 I slot      release: id  1 | task 136 | stop processing: n_tokens = 11, truncated = 0
1.14.517.462 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.111 (> 0.100 thold), f_keep = 0.091
1.14.517.468 I slot launch_slot_: id  1 | task 138 | processing task, is_child = 0
1.14.518.761 I slot      release: id  1 | task 138 | stop processing: n_tokens = 9, truncated = 0
1.14.520.850 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 74153932
1.14.520.860 I slot launch_slot_: id  0 | task 140 | processing task, is_child = 0
1.14.522.893 I slot      release: id  0 | task 140 | stop processing: n_tokens = 12, truncated = 0
1.14.549.050 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.111 (> 0.100 thold), f_keep = 0.083
1.14.549.061 I slot launch_slot_: id  0 | task 142 | processing task, is_child = 0
1.14.550.504 I slot      release: id  0 | task 142 | stop processing: n_tokens = 9, truncated = 0
1.14.565.013 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.111 (> 0.100 thold), f_keep = 0.111
1.14.565.022 I slot launch_slot_: id  0 | task 144 | processing task, is_child = 0
1.14.566.589 I slot      release: id  0 | task 144 | stop processing: n_tokens = 9, truncated = 0
1.14.581.000 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.167 (> 0.100 thold), f_keep = 0.111
1.14.581.014 I slot launch_slot_: id  0 | task 146 | processing task, is_child = 0
1.14.582.265 I slot      release: id  0 | task 146 | stop processing: n_tokens = 6, truncated = 0
1.14.585.034 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.200 (> 0.100 thold), f_keep = 0.167
1.14.585.042 I slot launch_slot_: id  0 | task 148 | processing task, is_child = 0
1.14.586.006 I slot      release: id  0 | task 148 | stop processing: n_tokens = 5, truncated = 0
2.53.224.962 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 74178303
2.53.224.971 I slot launch_slot_: id  3 | task 150 | processing task, is_child = 0
2.53.226.890 I slot      release: id  3 | task 150 | stop processing: n_tokens = 12, truncated = 0
2.53.228.296 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.182 (> 0.100 thold), f_keep = 0.167
2.53.228.304 I slot launch_slot_: id  3 | task 152 | processing task, is_child = 0
2.53.229.899 I slot      release: id  3 | task 152 | stop processing: n_tokens = 11, truncated = 0
2.53.251.324 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 74182002
2.53.251.331 I slot launch_slot_: id  2 | task 154 | processing task, is_child = 0
2.53.253.117 I slot      release: id  2 | task 154 | stop processing: n_tokens = 15, truncated = 0
2.53.267.288 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 74216736
2.53.267.295 I slot launch_slot_: id  1 | task 156 | processing task, is_child = 0
2.53.269.385 I slot      release: id  1 | task 156 | stop processing: n_tokens = 19, truncated = 0
2.53.270.425 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 74283980
2.53.270.433 I slot launch_slot_: id  0 | task 158 | processing task, is_child = 0
2.53.273.030 I slot      release: id  0 | task 158 | stop processing: n_tokens = 26, truncated = 0
2.53.274.005 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 172927874
2.53.274.010 I slot launch_slot_: id  3 | task 160 | processing task, is_child = 0
2.53.275.805 I slot      release: id  3 | task 160 | stop processing: n_tokens = 17, truncated = 0
2.53.276.857 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 172951092
2.53.276.866 I slot launch_slot_: id  2 | task 162 | processing task, is_child = 0
2.53.278.266 I slot      release: id  2 | task 162 | stop processing: n_tokens = 12, truncated = 0
2.53.279.207 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, sim_best = 0.200 (> 0.100 thold), f_keep = 0.167
2.53.279.215 I slot launch_slot_: id  2 | task 164 | processing task, is_child = 0
2.53.280.455 I slot      release: id  2 | task 164 | stop processing: n_tokens = 10, truncated = 0
2.53.281.522 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, sim_best = 0.182 (> 0.100 thold), f_keep = 0.200
2.53.281.529 I slot launch_slot_: id  2 | task 166 | processing task, is_child = 0
2.53.282.919 I slot      release: id  2 | task 166 | stop processing: n_tokens = 11, truncated = 0
2.53.284.141 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, sim_best = 0.222 (> 0.100 thold), f_keep = 0.182
2.53.284.149 I slot launch_slot_: id  2 | task 168 | processing task, is_child = 0
2.53.285.258 I slot      release: id  2 | task 168 | stop processing: n_tokens = 9, truncated = 0
2.53.298.313 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, sim_best = 0.167 (> 0.100 thold), f_keep = 0.222
2.53.298.319 I slot launch_slot_: id  2 | task 170 | processing task, is_child = 0
2.53.299.765 I slot      release: id  2 | task 170 | stop processing: n_tokens = 12, truncated = 0
2.53.314.391 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 172967360
2.53.314.401 I slot launch_slot_: id  1 | task 172 | processing task, is_child = 0
2.53.316.416 I slot      release: id  1 | task 172 | stop processing: n_tokens = 18, truncated = 0
2.53.317.534 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 172971005
2.53.317.542 I slot launch_slot_: id  0 | task 174 | processing task, is_child = 0
2.53.319.167 I slot      release: id  0 | task 174 | stop processing: n_tokens = 14, truncated = 0
2.53.345.299 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 172973781
2.53.345.309 I slot launch_slot_: id  3 | task 176 | processing task, is_child = 0
2.53.347.641 I slot      release: id  3 | task 176 | stop processing: n_tokens = 22, truncated = 0
2.53.349.029 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 172997740
2.53.349.037 I slot launch_slot_: id  2 | task 178 | processing task, is_child = 0
2.53.351.513 I slot      release: id  2 | task 178 | stop processing: n_tokens = 24, truncated = 0
2.53.376.377 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 173014391
2.53.376.386 I slot launch_slot_: id  1 | task 180 | processing task, is_child = 0
2.53.378.591 I slot      release: id  1 | task 180 | stop processing: n_tokens = 18, truncated = 0
2.53.392.321 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.111 (> 0.100 thold), f_keep = 0.056
2.53.392.329 I slot launch_slot_: id  1 | task 182 | processing task, is_child = 0
2.53.393.565 I slot      release: id  1 | task 182 | stop processing: n_tokens = 9, truncated = 0
2.53.407.340 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 173017141
2.53.407.345 I slot launch_slot_: id  0 | task 184 | processing task, is_child = 0
2.53.411.360 I slot      release: id  0 | task 184 | stop processing: n_tokens = 33, truncated = 0
2.53.423.456 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 173045617
2.53.423.464 I slot launch_slot_: id  3 | task 186 | processing task, is_child = 0
2.53.426.107 I slot      release: id  3 | task 186 | stop processing: n_tokens = 24, truncated = 0
2.53.439.368 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 173049488
2.53.439.376 I slot launch_slot_: id  2 | task 188 | processing task, is_child = 0
2.53.442.409 I slot      release: id  2 | task 188 | stop processing: n_tokens = 33, truncated = 0
2.53.443.648 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 173091540
